Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9216051,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",5,3.87,Vintage,Kindle Edition,376,2010,1955,,2025/12/30,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",5,3.90,Bantam Classics,Mass Market Paperback,201,1972,1915,,2024/04/20,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",5,4.29,Modern Library,Paperback,279,2023,1813,,2025/04/04,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",5,3.90,Norton,Paperback,464,2002,1847,2025/10/02,2025/04/04,,,read,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,,2025/04/04,,,read,,,,1,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,3.79,Pan Books,Paperback,189,1957,1926,,2025/04/04,,,read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",5,3.94,Vintage,Paperback,255,2001,1925,,2025/04/04,,,read,,,,1,0
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",5,3.86,Vintage International,Paperback,366,1990,1929,,2025/04/04,,,read,,,,1,0
58678702,Simple Passion,Annie Ernaux,"Ernaux, Annie",Tanya Leslie,"=""1644213575""","=""9781644213575""",5,3.91,Seven Stories Press,Paperback,67,2003,1991,,2025/10/18,,,read,,,,1,0
59452779,A Woman's Story,Annie Ernaux,"Ernaux, Annie",Tanya Leslie,"=""""","=""""",5,4.24,Seven Stories Press,Paperback,104,2003,1988,,2025/10/18,,,read,,,,1,0
17143,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0141185910""","=""9780141185910""",5,4.05,Penguin,Paperback,256,2001,1953,,2025/12/30,,,read,,,,1,0
144086081,A Man's Place,Annie Ernaux,"Ernaux, Annie","Tanya Leslie, Francine Prose","=""1609804031""","=""9781609804039""",5,3.88,Seven Stories Press,Paperback,96,2023,1983,2025/12/30,2025/10/18,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.16,Penguin,Paperback,532,2003,1847,2025/01/01,2025/04/04,to-read,to-read (#1),to-read,,,,1,0
60246552,Septology,Jon Fosse,"Fosse, Jon",,"=""1804270067""","=""9781804270066""",0,4.47,Fitzcarraldo Editions,Paperback,825,2022,2022,,2025/10/02,currently-reading,currently-reading (#1),currently-reading,,,,1,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Léon Tolstoï, Lev Tolstoj, Bruno Goetz, Dieter Wellershoff, Louise Maude, Aylmer Maude","=""0345803922""","=""9780345803924""",5,4.10,Vintage,Paperback,964,2012,1878,,2025/08/13,,,read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",5,4.29,Penguin,Paperback,671,2002,1866,,2025/04/04,,,read,,,,1,0
5439,Interpreter of Maladies,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618101365""","=""9780618101368""",5,4.18,Houghton Mifflin Harcourt,Hardcover,198,2000,1999,,2024/04/20,,,read,,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",5,4.15,Anchor Books,Paperback,311,1998,1985,,2024/04/20,,,read,,,,1,0
